Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Power_Board_Motor\Project Outputs for Free Documents\Pick Place\Pick Place for PowerBoardMotor.csv

========================================================================================================================
File Design Information:

Date:       20/04/26
Time:       01:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J1","XT60PW-M","TopLayer","XT60PWM","859.748","864.448","90","Socket; DC supply; XT60; male; PIN: 2; on PCBs; THT; Colour: yellow"
"J8","1729128","TopLayer","PHOE-1729128-2_V","1091.492","332.028","0","PCB Terminal Block, 13.5 A, 400 V, 2-Pin THD, RoHS, Bulk"
"U2","TPS40303DRCR","TopLayer","DRC0010J_V","1087.140","2102.554","270","3 to 20 V Wide Input Synchronous Buck Controller for High Power Density, High Efficiency, 300 kHz, 90 % Duty Cycle, -40 to 125 degC, 10-pin SON (DRC), Green (RoHS & no Sb/Br)"
"R12","1.87k","TopLayer","RESC1005X40X25LL05T05","1013.038","2319.970","90",""
"R11","1.37k","TopLayer","RESC1005X40X25LL05T05","967.584","2319.972","270",""
"R10","4.02k","TopLayer","RESC1005X40X25ML05T05","1125.853","1993.998","180",""
"R9","100k","TopLayer","FP-CRCW0402-e3-IPC_C","1132.356","2242.061","180","RES Thick Film, 100kO, 1%, 0.063W, 100ppm/°C, 0402"
"R8","10k","TopLayer","FP-CRCW0402-C-e3-IPC_C","1221.826","2311.317","90","RES 10K OHM 1% 1/16W 0402"
"R7","383","TopLayer","RESC1608X55X25LL10T15","1285.738","2320.626","90",""
"Q4","CSD17577Q3AT","TopLayer","FP-DNH0008A-MFG","1116.086","1685.510","90","MOSFET N-CH 30V 35A 8VSON"
"Q3","CSD17578Q3A","TopLayer","FP-DNH0008A-MFG","837.736","1712.724","270","MOSFET N-CH 30V 35A 8VSON"
"C18","2.2uF","TopLayer","CAPC2013X135X50ML10T20","1230.698","2010.736","90",""
"C17","560pF","TopLayer","FP-GRM155-0_05-IPC_A","1033.997","2247.452","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 560pF, C0G, 30ppm/°C, 5%, 50V"
"C16","15nF","TopLayer","CAPC1005X55X25LL05T10","1055.222","2318.002","270",""
"C15","1uF","TopLayer","FP-C1005-050-0_05-IPC_B","1221.667","2144.208","270","Multilayer Ceramic Capacitors 1µF ±10% 25V X5R SMD 0402"
"C13","2.7nF","TopLayer","CAPC1005X55X25NL05T10","1249.910","2252.910","0",""
